Source,Target,Weight
california_pepper,wild_raspberry,8
california_pepper,cantaloupe,7
california_pepper,ceylon_tea,16
california_pepper,brown_rice,5
california_pepper,cherry,5
california_pepper,mace,14
california_pepper,artemisia_maritime_oil,1
california_pepper,leaf_oil,1
california_pepper,pimento,7
california_pepper,thymus_mastichina,1
california_pepper,cinnamon_leaf_oil,2
california_pepper,german_chamomile_oil,2
california_pepper,american_sassafras_oil,1
california_pepper,mastic_gum,4
california_pepper,grapefruit_peel,2
california_pepper,spanish_origanum,1
california_pepper,mastic_gum_oil,3
california_pepper,rosemary_oil,1
california_pepper,artemisia_herba_alba,1
california_pepper,camphor_oil,5
california_pepper,satsuma,10
california_pepper,lavender_delphinensis,1
california_pepper,mentha_citrata,1
california_pepper,cymbopogon_sennaarensis,1
california_pepper,laurel,11
california_pepper,lavender_oil,3
california_pepper,betel,1
california_pepper,salvia_grandifiora_oil,1
california_pepper,rosemary,9
california_pepper,star_anise_oil,2
california_pepper,artemisia_santolinifolia,1
california_pepper,artemisia_cina,1
california_pepper,basil,5
california_pepper,laurel_leaf,2
california_pepper,citrus_oil,3
california_pepper,cascarilla,1
california_pepper,cumin,6
california_pepper,mandarin_oil,1
california_pepper,pine_oil,2
california_pepper,ceylon_tea_citronella_oil,1
california_pepper,blackberry,15
california_pepper,lemon_juice,1
california_pepper,grapefruit_peel_oil,2
california_pepper,chinese_star_anise,4
california_pepper,melaleuca_paucifiora_oil,1
california_pepper,seed,5
california_pepper,ceylon_tea_cinnamon_leaf,1
california_pepper,bitter_fennel,1
california_pepper,laurel_leaf_oil,2
california_pepper,cardamom_oil,1
california_pepper,spirea_ulmaria_oil,1
california_pepper,calytrix_tetragona,1
california_pepper,phebalium_nudum_root_oil,1
california_pepper,niaouli_oil,1
california_pepper,clary_sage_oil,2
california_pepper,juniperus_phoenicea_oil,1
california_pepper,dacrydium_franklinii_oil,1
california_pepper,cajeput_oil,2
california_pepper,darwinia_grandiflora_oil,1
california_pepper,black_currant_bud,2
california_pepper,tea_tree_oil,2
california_pepper,bay,1
california_pepper,chrysanthemum_japonicum,1
california_pepper,echinacea,1
california_pepper,myrocarpus_frondosus,2
california_pepper,brazilian_sassafras_oil,1
california_pepper,bulgarian_rose,2
california_pepper,lovage_leaf,1
california_pepper,acacia_flower_oil,1
california_pepper,eucalyptus_globulus,2
california_pepper,satureia_montana,1
california_pepper,origanum,3
california_pepper,key_lime_leaf,1
california_pepper,soursop,3
california_pepper,nutmeg_oil,1
california_pepper,melaleuca_viridiflora,1
california_pepper,chinese_star_anise_oil,2
california_pepper,melaleuca_trichostachya_oil,1
california_pepper,helichrysum_italicum,1
california_pepper,eucalyptus_citridora,1
california_pepper,sassafras_root_oil,1
california_pepper,leptospermum_citratum,1
california_pepper,mandarin,13
california_pepper,winter_savory,1
california_pepper,cupressaceae_oil,2
california_pepper,eucalyptus_citriodora_oil,1
california_pepper,artemisia_santolinifolia_oil,1
california_pepper,nectarine,9
california_pepper,eryngium_poterium_oil,1
california_pepper,clove,10
california_pepper,asarum_europaeum_root_oil,1
california_pepper,bilberry,13
california_pepper,myrrh_oil,1
california_pepper,litsea_cubeba_fruit,1
california_pepper,sea_buckthorn,2
california_pepper,kaschmis_citronella_oil,1
california_pepper,mentha_silvestris_oil,1
california_pepper,myrtle,13
california_pepper,violet_flower_oil,1
california_pepper,picea_alba_oil,1
california_pepper,pimenta,1
california_pepper,melaleuca_oil,1
california_pepper,buchu,6
california_pepper,eucalyptus_dives,1
california_pepper,cruciferae_seed,5
california_pepper,jammus_citronella_oil,1
california_pepper,matricaria_parthenium_oil,1
california_pepper,lime_peel_oil,3
california_pepper,eucalyptus_globulus_oil,1
california_pepper,dalbergia_sissoo,1
california_pepper,rapeseed,5
california_pepper,achillea_micrantha_oil,1
california_pepper,japanese_peppermint_oil,1
california_pepper,nemuaron_humboldtii_oil,1
california_pepper,melaleuca_bracteata_leaf,1
california_pepper,melaleuca_smithii,1
california_pepper,myrtaceae_oil,1
